Route;ID_Rota
MAA_CCU;1
DEL_UDR_BOM_COK;2
DEL_TRV_COK;3
DEL_RPR_NAG_BOM_COK;4
DEL_PNQ_COK;5
DEL_NAG_BOM_COK;6
DEL_MAA_COK;7
DEL_MAA_BOM_COK;8
DEL_LKO_COK;9
DEL_LKO_BOM_COK;10
DEL_JDH_BOM_COK;11
DEL_JAI_BOM_COK;12
DEL_IXU_BOM_COK;13
DEL_IXC_BOM_COK;14
DEL_IDR_BOM_COK;15
DEL_HYD_MAA_COK;16
DEL_HYD_COK;17
DEL_HYD_BOM_COK;18
DEL_GWL_IDR_BOM_COK;19
DEL_GOI_BOM_COK;20
DEL_DED_BOM_COK;21
DEL_COK;22
DEL_CCU_BOM_COK;23
DEL_BOM_COK;24
DEL_BLR_COK;25
DEL_BHO_BOM_COK;26
DEL_BDQ_BOM_COK;27
DEL_BBI_COK;28
DEL_ATQ_BOM_COK;29
DEL_AMD_COK;30
DEL_AMD_BOM_COK;31
CCU_VTZ_BLR;32
CCU_VNS_DEL_BLR;33
CCU_RPR_HYD_BLR;34
CCU_PNQ_BLR;35
CCU_PAT_BLR;36
CCU_NAG_BLR;37
CCU_MAA_BLR;38
CCU_KNU_BLR;39
CCU_JAI_DEL_BLR;40
CCU_JAI_BOM_BLR;41
CCU_IXZ_MAA_BLR;42
CCU_IXR_DEL_BLR;43
CCU_IXR_BBI_BLR;44
CCU_IXB_DEL_BLR;45
CCU_IXB_BLR;46
CCU_IXA_BLR;47
CCU_HYD_BLR;48
CCU_GAU_IMF_DEL_BLR;49
CCU_GAU_DEL_BLR;50
CCU_GAU_BLR;51
CCU_DEL_VGA_BLR;52
CCU_DEL_COK_TRV_BLR;53
CCU_DEL_COK_BLR;54
CCU_DEL_BLR;55
CCU_DEL_AMD_BLR;56
CCU_BOM_TRV_BLR;57
CCU_BOM_PNQ_BLR;58
CCU_BOM_HBX_BLR;59
CCU_BOM_GOI_BLR;60
CCU_BOM_COK_BLR;61
CCU_BOM_BLR;62
CCU_BOM_AMD_BLR;63
CCU_BLR;64
CCU_BBI_IXR_DEL_BLR;65
CCU_BBI_HYD_BLR;66
CCU_BBI_BOM_BLR;67
CCU_BBI_BLR;68
CCU_AMD_BLR;69
BOM_VNS_DEL_HYD;70
BOM_UDR_DEL_HYD;71
BOM_RPR_VTZ_HYD;72
BOM_NDC_HYD;73
BOM_MAA_HYD;74
BOM_JLR_HYD;75
BOM_JDH_JAI_DEL_HYD;76
BOM_JDH_DEL_HYD;77
BOM_JAI_DEL_HYD;78
BOM_IDR_DEL_HYD;79
BOM_HYD;80
BOM_GOI_PNQ_HYD;81
BOM_GOI_HYD;82
BOM_DEL_HYD;83
BOM_DED_DEL_HYD;84
BOM_COK_MAA_HYD;85
BOM_CCU_HYD;86
BOM_BLR_HYD;87
BOM_BLR_CCU_BBI_HYD;88
BOM_BHO_DEL_HYD;89
BOM_BDQ_DEL_HYD;90
BOM_BBI_HYD;91
BOM_AMD_ISK_HYD;92
BLR_VGA_VTZ_DEL;93
BLR_VGA_HYD_DEL;94
BLR_VGA_DEL;95
BLR_TRV_COK_DEL;96
BLR_STV_DEL;97
BLR_PNQ_DEL;98
BLR_NAG_DEL;99
BLR_MAA_DEL;100
BLR_LKO_DEL;101
BLR_IDR_DEL;102
BLR_HYD_VGA_DEL;103
BLR_HYD_DEL;104
BLR_HBX_BOM_NAG_DEL;105
BLR_HBX_BOM_BHO_DEL;106
BLR_HBX_BOM_AMD_DEL;107
BLR_GOI_DEL;108
BLR_GAU_DEL;109
BLR_DEL;110
BLR_DEL;111
BLR_COK_DEL;112
BLR_CCU_GAU_DEL;113
BLR_CCU_DEL;114
BLR_CCU_BBI_HYD_VGA_DEL;115
BLR_CCU_BBI_HYD_DEL;116
BLR_CCU_BBI_DEL;117
BLR_BOM_UDR_DEL;118
BLR_BOM_NAG_DEL;119
BLR_BOM_JDH_DEL;120
BLR_BOM_IXC_DEL;121
BLR_BOM_IDR_GWL_DEL;122
BLR_BOM_IDR_DEL;123
BLR_BOM_DEL;124
BLR_BOM_BHO_DEL;125
BLR_BOM_AMD_DEL;126
BLR_BDQ_DEL;127
BLR_BBI_DEL;128
BLR_AMD_DEL;129
